Llama_ROUGE-1,Llama_ROUGE-2,Llama_ROUGE-L,Llama_BLEU-1,Llama_BLEU-2,Llama_BLEU-3,Llama_BLEU-4,Llama_BLEU,Llama_METEOR,Llama_BERTScore-F1,id
0.0739,0.0149,0.0542,0.0,0.0,0.0,0.0,0.0,0.018,-0.1226,156
0.4595,0.2,0.3243,0.354,0.2123,0.1484,0.1168,0.1168,0.3096,0.2794,157
0.2376,0.0606,0.1584,0.0946,0.0114,0.0056,0.004,0.004,0.2078,0.0763,158
0.3258,0.0822,0.19,0.0991,0.04,0.0236,0.0153,0.0153,0.1175,0.0882,159
0.2576,0.1385,0.2121,0.1644,0.1068,0.0863,0.0725,0.0725,0.1994,-0.1035,160
0.2869,0.0766,0.1519,0.1173,0.0551,0.0317,0.0114,0.0114,0.14,0.1003,161
0.2968,0.0392,0.1677,0.2169,0.0514,0.0148,0.008,0.008,0.1196,-0.1441,162
0.4258,0.1307,0.2581,0.3012,0.1355,0.061,0.0231,0.0231,0.3212,0.2045,163
0.3043,0.1471,0.2174,0.1392,0.0732,0.0191,0.0098,0.0098,0.1466,0.118,164
0.3585,0.1154,0.2075,0.1507,0.0915,0.0618,0.0428,0.0428,0.2311,0.0131,165
0.4596,0.2146,0.3064,0.2443,0.1602,0.113,0.0822,0.0822,0.2382,0.2595,166
0.3489,0.1545,0.2383,0.1819,0.1139,0.0817,0.0562,0.0562,0.159,0.2023,167
0.3494,0.0976,0.2169,0.2471,0.1213,0.0892,0.0714,0.0714,0.2038,0.1361,168
0.4321,0.236,0.3148,0.1406,0.1017,0.0743,0.0552,0.0552,0.2024,0.2423,169
0.4058,0.2117,0.3043,0.1087,0.0679,0.0492,0.0343,0.0343,0.1772,0.3042,170
0.3436,0.087,0.2454,0.2,0.0503,0.0148,0.0081,0.0081,0.1532,0.0759,171
0.4459,0.1918,0.3649,0.3023,0.1578,0.0962,0.068,0.068,0.2935,0.2591,172
0.3852,0.1653,0.2377,0.1708,0.1063,0.0559,0.0309,0.0309,0.1838,0.2097,173
0.5493,0.3429,0.4507,0.3448,0.2611,0.1933,0.1507,0.1507,0.4989,0.3975,174
0.479,0.1356,0.2353,0.2859,0.1453,0.0869,0.0594,0.0594,0.2442,0.2302,175
0.3529,0.131,0.3176,0.2857,0.1437,0.0911,0.0553,0.0553,0.2373,0.1333,176
0.6029,0.4058,0.5072,0.4617,0.3714,0.315,0.2744,0.2744,0.3578,0.4473,177
0.256,0.1301,0.208,0.1264,0.0767,0.0592,0.0471,0.0471,0.2007,0.1658,178
0.1229,0.0226,0.0894,0.0521,0.0214,0.0074,0.0044,0.0044,0.0381,-0.2491,179
0.3478,0.1029,0.2029,0.2308,0.1095,0.0251,0.012,0.012,0.2234,0.1741,180
0.2935,0.1319,0.2391,0.1984,0.1374,0.1122,0.0979,0.0979,0.2037,0.124,181
0.3453,0.1314,0.2446,0.2179,0.0921,0.0482,0.0196,0.0196,0.2268,0.2086,182
0.411,0.1528,0.3288,0.2556,0.1608,0.1208,0.0883,0.0883,0.2921,0.2952,183
0.2833,0.0508,0.1333,0.1923,0.0866,0.0462,0.019,0.019,0.2462,0.1738,184
0.441,0.2383,0.2974,0.2577,0.178,0.1396,0.118,0.118,0.2404,0.2754,185
0.5192,0.233,0.2596,0.3054,0.1957,0.1248,0.0639,0.0639,0.2549,0.3406,186
0.4106,0.2682,0.3194,0.13,0.1081,0.0881,0.0736,0.0736,0.2212,0.1706,187
0.3268,0.0941,0.1712,0.115,0.0542,0.0221,0.008,0.008,0.1169,0.0994,188
0.5455,0.3243,0.4492,0.3277,0.2192,0.1494,0.1001,0.1001,0.2981,0.3998,189
0.4359,0.2414,0.3077,0.2208,0.161,0.124,0.0996,0.0996,0.2388,0.2182,190
0.5257,0.2081,0.3429,0.4331,0.2579,0.1546,0.0803,0.0803,0.3444,0.2559,191
0.4751,0.2346,0.3094,0.409,0.2827,0.1952,0.115,0.115,0.3462,0.2954,192
0.3216,0.1117,0.2111,0.2167,0.111,0.0466,0.0171,0.0171,0.1387,-0.0103,193
0.4809,0.1846,0.313,0.2268,0.125,0.0798,0.0517,0.0517,0.2463,0.1568,194
0.2171,0.0469,0.1163,0.0433,0.0211,0.0049,0.0024,0.0024,0.0843,-0.1398,195
0.5797,0.3024,0.4734,0.4248,0.287,0.2035,0.1503,0.1503,0.3537,0.4141,196
0.3725,0.1224,0.2348,0.2491,0.1075,0.0614,0.0354,0.0354,0.1798,0.1076,197
0.3176,0.0779,0.1631,0.1928,0.0501,0.0118,0.0058,0.0058,0.1289,0.0047,198
0.5285,0.2618,0.3731,0.3838,0.2473,0.1628,0.0969,0.0969,0.2636,0.3246,199
0.32,0.1129,0.176,0.1479,0.0707,0.0461,0.0314,0.0314,0.1416,0.0702,200
0.4581,0.1808,0.2793,0.3271,0.1672,0.0846,0.0286,0.0286,0.2169,0.3692,201
0.3505,0.125,0.2062,0.2721,0.1438,0.0842,0.0584,0.0584,0.2195,0.1266,202
0.4151,0.0764,0.2264,0.3012,0.105,0.0239,0.0114,0.0114,0.2457,0.1945,203
0.5169,0.2308,0.2881,0.2899,0.2018,0.1446,0.1032,0.1032,0.2715,0.2758,204
0.4574,0.1828,0.2766,0.3188,0.1757,0.1104,0.0738,0.0738,0.2547,0.1339,205
0.4,0.0807,0.2133,0.185,0.0648,0.0364,0.0231,0.0231,0.1495,0.143,206
0.3485,0.1077,0.2727,0.2405,0.136,0.0783,0.0282,0.0282,0.3758,0.1046,207
0.1958,0.0284,0.1259,0.1884,0.0744,0.0436,0.0188,0.0188,0.14,-0.0066,208
0.4343,0.1965,0.2971,0.2841,0.1714,0.127,0.0991,0.0991,0.1772,0.2217,209
0.375,0.1408,0.2222,0.2593,0.1506,0.0952,0.0576,0.0576,0.2599,0.1574,210
0.4845,0.2893,0.3478,0.3331,0.257,0.1985,0.1603,0.1603,0.2852,0.1972,211
0.3515,0.1472,0.2424,0.324,0.2023,0.1465,0.1131,0.1131,0.2271,0.0552,212
0.3436,0.1778,0.2467,0.2023,0.1372,0.1058,0.082,0.082,0.1941,0.0847,213
0.375,0.1368,0.2708,0.3053,0.1802,0.128,0.0909,0.0909,0.2352,0.1387,214
0.4455,0.1722,0.2938,0.3094,0.1844,0.1268,0.0969,0.0969,0.2326,0.2449,215
0.4365,0.1744,0.264,0.2528,0.1633,0.1007,0.0631,0.0631,0.2318,0.2289,216
0.4737,0.2301,0.2632,0.3445,0.234,0.1759,0.1355,0.1355,0.3037,0.3657,217
0.3671,0.0513,0.2025,0.2857,0.1173,0.0552,0.0213,0.0213,0.2411,0.1543,218
0.5089,0.2342,0.2679,0.3211,0.1865,0.1083,0.0311,0.0311,0.3198,0.3605,219
0.3444,0.1461,0.2556,0.2584,0.1626,0.1222,0.0893,0.0893,0.253,0.1871,220
0.5049,0.2745,0.3398,0.3416,0.2543,0.2007,0.1574,0.1574,0.3306,0.2943,221
0.3252,0.0992,0.1951,0.169,0.0695,0.0191,0.0101,0.0101,0.1237,-0.0974,222
0.2714,0.087,0.1857,0.1429,0.0563,0.0153,0.008,0.008,0.1968,0.0612,223
0.5486,0.2543,0.3771,0.4233,0.273,0.1799,0.1274,0.1274,0.3072,0.2596,224
0.3897,0.0725,0.2359,0.2981,0.1245,0.0546,0.0204,0.0204,0.2139,0.1787,225
0.4083,0.1513,0.275,0.2167,0.1259,0.0858,0.0618,0.0618,0.2218,0.1762,226
0.5291,0.3209,0.4762,0.4016,0.2961,0.2254,0.1691,0.1691,0.3545,0.3848,227
0.4427,0.1538,0.2443,0.221,0.1084,0.0633,0.0407,0.0407,0.1849,0.1155,228
0.4387,0.2092,0.3226,0.3205,0.1825,0.1095,0.0364,0.0364,0.2865,0.3203,229
0.3923,0.1159,0.2679,0.2292,0.0706,0.0154,0.0072,0.0072,0.181,0.2266,230
0.342,0.1361,0.2176,0.2028,0.1204,0.0641,0.0394,0.0394,0.1652,0.0766,231
0.4298,0.1593,0.2719,0.2835,0.1646,0.093,0.0653,0.0653,0.2192,0.2569,232
0.5041,0.2083,0.314,0.2217,0.1165,0.0706,0.0369,0.0369,0.2774,0.2487,233
0.3815,0.1871,0.2659,0.2661,0.1641,0.085,0.0516,0.0516,0.1879,0.1872,234
0.3881,0.1307,0.2388,0.2715,0.1366,0.0866,0.0582,0.0582,0.2173,0.214,235
0.4433,0.1771,0.3299,0.2817,0.1561,0.0862,0.0489,0.0489,0.2524,0.1907,236
0.3378,0.1507,0.2568,0.2917,0.1813,0.1234,0.0859,0.0859,0.2632,0.1797,237
0.4231,0.1948,0.2821,0.2386,0.1283,0.0576,0.0218,0.0218,0.2624,0.3126,238
0.2797,0.1197,0.2203,0.0703,0.0464,0.0281,0.0167,0.0167,0.1531,-0.0134,239
0.6024,0.3415,0.3735,0.4512,0.2985,0.1983,0.1312,0.1312,0.4795,0.39,240
0.1928,0.061,0.1566,0.1841,0.07,0.0188,0.0098,0.0098,0.1267,-0.1755,241
0.4698,0.1633,0.2819,0.2841,0.1278,0.0575,0.0217,0.0217,0.2821,0.2727,242
0.5023,0.1596,0.2977,0.3499,0.174,0.1064,0.0664,0.0664,0.2765,0.227,243
0.3188,0.1387,0.2609,0.1118,0.065,0.0377,0.0115,0.0115,0.1294,0.2109,244
0.3709,0.2013,0.3046,0.2015,0.1244,0.0845,0.0632,0.0632,0.1905,0.1003,245
0.469,0.1786,0.292,0.2515,0.1302,0.0863,0.056,0.056,0.2051,0.2114,246
0.2911,0.1154,0.2278,0.1848,0.0901,0.0208,0.01,0.01,0.2186,0.2664,247
0.3494,0.122,0.2048,0.1845,0.0901,0.0565,0.0378,0.0378,0.1815,-0.0337,248
0.4554,0.1982,0.2679,0.2554,0.1483,0.0839,0.0448,0.0448,0.237,0.2401,249
0.5455,0.2874,0.3977,0.4474,0.3103,0.243,0.1911,0.1911,0.426,0.4336,250
0.315,0.08,0.2362,0.1899,0.0855,0.0212,0.0106,0.0106,0.2087,0.0971,251
0.1844,0.0432,0.1135,0.0645,0.0092,0.0048,0.0035,0.0035,0.0394,-0.0756,252
0.3041,0.1023,0.1843,0.1291,0.0717,0.0492,0.038,0.038,0.1229,-0.0109,253
0.4908,0.2112,0.3067,0.3475,0.2155,0.1588,0.1189,0.1189,0.2444,0.1426,254
0.2464,0.0735,0.1739,0.0906,0.0431,0.0269,0.012,0.012,0.0904,-0.1665,255
0.3372,0.1081,0.1839,0.1477,0.0795,0.0301,0.0105,0.0105,0.1363,0.0959,256
0.4946,0.1522,0.2903,0.3874,0.157,0.0642,0.0232,0.0232,0.2558,0.3252,257
0.3443,0.15,0.2787,0.2,0.1162,0.057,0.0225,0.0225,0.3142,0.2462,258
0.3462,0.1318,0.2846,0.129,0.0738,0.0399,0.0126,0.0126,0.1385,0.2177,259
0.5,0.24,0.3947,0.3855,0.2743,0.2294,0.1971,0.1971,0.4078,0.3188,260
0.4059,0.1859,0.2288,0.2073,0.1325,0.0859,0.0542,0.0542,0.2143,0.185,261
0.1653,0.0168,0.0992,0.1096,0.039,0.0129,0.0074,0.0074,0.0905,-0.0814,262
0.3558,0.1242,0.2086,0.2533,0.117,0.0266,0.0127,0.0127,0.161,0.1299,263
0.3053,0.1085,0.2137,0.1625,0.0641,0.0174,0.0091,0.0091,0.1417,0.0924,264
0.3814,0.1596,0.2419,0.2379,0.1466,0.1046,0.0717,0.0717,0.2085,0.164,265
0.5326,0.1978,0.2609,0.4602,0.2705,0.1189,0.0374,0.0374,0.3308,0.3285,266
0.434,0.1905,0.3208,0.2844,0.1784,0.1216,0.0737,0.0737,0.2188,0.3202,267
0.3953,0.1294,0.1977,0.2637,0.1238,0.0565,0.0216,0.0216,0.2007,0.1823,268
0.3197,0.1712,0.2177,0.1378,0.0968,0.0685,0.046,0.046,0.1627,0.1285,269
